book,book_full,category,chapter,clause_idx,sent_id,strategy,orig_pj,orig_std,stripped_pj,stripped_std,delta_pj,flipped,fully_editorial,n_orig,n_stripped,n_remaining,strip_ratio,categories_hit,orig_text,stripped_text,tokens_removed,robustness,random_flip_count,p_value
John,John,Gospel,4,204,John.4.6,christological,0.5870,0.1815,,,,False,True,12,2,10,0.1667,christological,Μετὰ ταῦτα ἀπῆλθεν ὁ Ἰησοῦς πέραν τῆς θαλάσσης τῆς Γαλιλαίας τῆς Τιβεριάδος.,Μετὰ ταῦτα ἀπῆλθεν πέραν τῆς θαλάσσης τῆς Γαλιλαίας τῆς Τιβεριάδος.,ὁ|Ἰησοῦς,,,
John,John,Gospel,4,206,John.4.6,all,0.5225,0.1678,0.5616,0.1318,-0.0391,False,False,13,1,12,0.0769,christological,"ἀνῆλθεν δὲ εἰς τὸ ⸀ὄρος Ἰησοῦς, καὶ ἐκεῖ ἐκάθητο μετὰ τῶν μαθητῶν αὐτοῦ.",ἀνῆλθεν δὲ εἰς τὸ ⸀ὄρος καὶ ἐκεῖ ἐκάθητο μετὰ τῶν μαθητῶν αὐτοῦ.,"Ἰησοῦς,",,,
John,John,Gospel,4,206,John.4.6,christological,0.5225,0.1678,0.5616,0.1318,-0.0391,False,False,13,1,12,0.0769,christological,"ἀνῆλθεν δὲ εἰς τὸ ⸀ὄρος Ἰησοῦς, καὶ ἐκεῖ ἐκάθητο μετὰ τῶν μαθητῶν αὐτοῦ.",ἀνῆλθεν δὲ εἰς τὸ ⸀ὄρος καὶ ἐκεῖ ἐκάθητο μετὰ τῶν μαθητῶν αὐτοῦ.,"Ἰησοῦς,",,,
John,John,Gospel,4,224,John.4.7,all,0.6734,0.0879,,,,False,True,5,2,3,0.4000,christological,λέγει οὖν αὐτοῖς ὁ Ἰησοῦς·,λέγει οὖν αὐτοῖς,ὁ|Ἰησοῦς·,,,
John,John,Gospel,4,224,John.4.7,christological,0.6734,0.0879,,,,False,True,5,2,3,0.4000,christological,λέγει οὖν αὐτοῖς ὁ Ἰησοῦς·,λέγει οὖν αὐτοῖς,ὁ|Ἰησοῦς·,,,
John,John,Gospel,4,228,John.4.8,all,0.5853,0.0961,,,,False,True,7,2,5,0.2857,christological,Πάλιν οὖν αὐτοῖς ⸂ἐλάλησεν ὁ Ἰησοῦς⸃ λέγων·,Πάλιν οὖν αὐτοῖς ⸂ἐλάλησεν λέγων·,ὁ|Ἰησοῦς⸃,,,
John,John,Gospel,4,228,John.4.8,christological,0.5853,0.0961,,,,False,True,7,2,5,0.2857,christological,Πάλιν οὖν αὐτοῖς ⸂ἐλάλησεν ὁ Ἰησοῦς⸃ λέγων·,Πάλιν οὖν αὐτοῖς ⸂ἐλάλησεν λέγων·,ὁ|Ἰησοῦς⸃,,,
John,John,Gospel,4,234,John.4.8,all,0.5936,0.1497,,,,False,True,5,1,4,0.2000,christological,ἀπεκρίθη Ἰησοῦς καὶ εἶπεν αὐτοῖς·,ἀπεκρίθη καὶ εἶπεν αὐτοῖς·,Ἰησοῦς,,,
John,John,Gospel,4,234,John.4.8,christological,0.5936,0.1497,,,,False,True,5,1,4,0.2000,christological,ἀπεκρίθη Ἰησοῦς καὶ εἶπεν αὐτοῖς·,ἀπεκρίθη καὶ εἶπεν αὐτοῖς·,Ἰησοῦς,,,
John,John,Gospel,4,244,John.4.9,all,0.7640,0.0971,,,,False,True,18,1,17,0.0556,christological,"ἀπεκρίθη Ἰησοῦς· Οὔτε οὗτος ἥμαρτεν οὔτε οἱ γονεῖς αὐτοῦ, ἀλλ’ ἵνα φανερωθῇ τὰ ἔργα τοῦ θεοῦ ἐν αὐτῷ.","ἀπεκρίθη Οὔτε οὗτος ἥμαρτεν οὔτε οἱ γονεῖς αὐτοῦ, ἀλλ’ ἵνα φανερωθῇ τὰ ἔργα τοῦ θεοῦ ἐν αὐτῷ.",Ἰησοῦς·,,,
John,John,Gospel,4,244,John.4.9,christological,0.7640,0.0971,,,,False,True,18,1,17,0.0556,christological,"ἀπεκρίθη Ἰησοῦς· Οὔτε οὗτος ἥμαρτεν οὔτε οἱ γονεῖς αὐτοῦ, ἀλλ’ ἵνα φανερωθῇ τὰ ἔργα τοῦ θεοῦ ἐν αὐτῷ.","ἀπεκρίθη Οὔτε οὗτος ἥμαρτεν οὔτε οἱ γονεῖς αὐτοῦ, ἀλλ’ ἵνα φανερωθῇ τὰ ἔργα τοῦ θεοῦ ἐν αὐτῷ.",Ἰησοῦς·,,,
Acts,Acts,Disputed,5,6,Acts.5.1,all,0.7269,0.1209,0.7066,0.1030,0.0203,False,False,11,2,9,0.1818,patriarchal|kyrios,"Κύριε, εἰ ἐν τῷ χρόνῳ τούτῳ ἀποκαθιστάνεις τὴν βασιλείαν τῷ Ἰσραήλ;",εἰ ἐν τῷ χρόνῳ τούτῳ ἀποκαθιστάνεις τὴν βασιλείαν τῷ,"Κύριε,|Ἰσραήλ;",,,
Acts,Acts,Disputed,5,6,Acts.5.1,kyrios,0.7269,0.1209,0.7897,0.0493,-0.0628,False,False,11,1,10,0.0909,kyrios,"Κύριε, εἰ ἐν τῷ χρόνῳ τούτῳ ἀποκαθιστάνεις τὴν βασιλείαν τῷ Ἰσραήλ;",εἰ ἐν τῷ χρόνῳ τούτῳ ἀποκαθιστάνεις τὴν βασιλείαν τῷ Ἰσραήλ;,"Κύριε,",,,
Acts,Acts,Disputed,5,6,Acts.5.1,patriarchal,0.7269,0.1209,0.6544,0.1444,0.0725,False,False,11,1,10,0.0909,patriarchal,"Κύριε, εἰ ἐν τῷ χρόνῳ τούτῳ ἀποκαθιστάνεις τὴν βασιλείαν τῷ Ἰσραήλ;","Κύριε, εἰ ἐν τῷ χρόνῳ τούτῳ ἀποκαθιστάνεις τὴν βασιλείαν τῷ",Ἰσραήλ;,,,
Acts,Acts,Disputed,5,11,Acts.5.10,all,0.5450,0.2523,,,,False,True,3,1,2,0.3333,kyrios,"Τί ἐστιν, κύριε;","Τί ἐστιν,",κύριε;,,,
Acts,Acts,Disputed,5,11,Acts.5.10,kyrios,0.5450,0.2523,,,,False,True,3,1,2,0.3333,kyrios,"Τί ἐστιν, κύριε;","Τί ἐστιν,",κύριε;,,,
Acts,Acts,Disputed,5,24,Acts.5.11,all,0.6936,0.0807,0.7398,0.0837,-0.0462,False,False,14,1,13,0.0714,kyrios,"εἶπον δέ· Μηδαμῶς, κύριε, ⸀ὅτι κοινὸν ἢ ἀκάθαρτον οὐδέποτε εἰσῆλθεν εἰς τὸ στόμα μου.","εἶπον δέ· Μηδαμῶς, ⸀ὅτι κοινὸν ἢ ἀκάθαρτον οὐδέποτε εἰσῆλθεν εἰς τὸ στόμα μου.","κύριε,",,,
Acts,Acts,Disputed,5,24,Acts.5.11,kyrios,0.6936,0.0807,0.7398,0.0837,-0.0462,False,False,14,1,13,0.0714,kyrios,"εἶπον δέ· Μηδαμῶς, κύριε, ⸀ὅτι κοινὸν ἢ ἀκάθαρτον οὐδέποτε εἰσῆλθεν εἰς τὸ στόμα μου.","εἶπον δέ· Μηδαμῶς, ⸀ὅτι κοινὸν ἢ ἀκάθαρτον οὐδέποτε εἰσῆλθεν εἰς τὸ στόμα μου.","κύριε,",,,
Acts,Acts,Disputed,5,32,Acts.5.12,all,0.6035,0.0899,0.6048,0.0437,-0.0012,False,False,11,1,10,0.0909,kyrios,"καὶ ἰδοὺ ἄγγελος κυρίου ἐπέστη, καὶ φῶς ἔλαμψεν ἐν τῷ οἰκήματι·","καὶ ἰδοὺ ἄγγελος ἐπέστη, καὶ φῶς ἔλαμψεν ἐν τῷ οἰκήματι·",κυρίου,,,
Acts,Acts,Disputed,5,32,Acts.5.12,kyrios,0.6035,0.0899,0.6048,0.0437,-0.0012,False,False,11,1,10,0.0909,kyrios,"καὶ ἰδοὺ ἄγγελος κυρίου ἐπέστη, καὶ φῶς ἔλαμψεν ἐν τῷ οἰκήματι·","καὶ ἰδοὺ ἄγγελος ἐπέστη, καὶ φῶς ἔλαμψεν ἐν τῷ οἰκήματι·",κυρίου,,,
Acts,Acts,Disputed,5,35,Acts.5.13,all,0.6459,0.0817,0.6794,0.0373,-0.0335,False,False,12,2,10,0.1667,kyrios,λειτουργούντων δὲ αὐτῶν τῷ κυρίῳ καὶ νηστευόντων εἶπεν τὸ πνεῦμα τὸ ἅγιον·,λειτουργούντων δὲ αὐτῶν καὶ νηστευόντων εἶπεν τὸ πνεῦμα τὸ ἅγιον·,τῷ|κυρίῳ,,,
Acts,Acts,Disputed,5,35,Acts.5.13,kyrios,0.6459,0.0817,0.6794,0.0373,-0.0335,False,False,12,2,10,0.1667,kyrios,λειτουργούντων δὲ αὐτῶν τῷ κυρίῳ καὶ νηστευόντων εἶπεν τὸ πνεῦμα τὸ ἅγιον·,λειτουργούντων δὲ αὐτῶν καὶ νηστευόντων εἶπεν τὸ πνεῦμα τὸ ἅγιον·,τῷ|κυρίῳ,,,
Acts,Acts,Disputed,5,43,Acts.5.14,all,0.8274,0.0451,0.8205,0.0600,0.0070,False,False,25,4,21,0.1600,kyrios,"ἱκανὸν μὲν οὖν χρόνον διέτριψαν παρρησιαζόμενοι ἐπὶ τῷ κυρίῳ τῷ μαρτυροῦντι ⸀τῷ λόγῳ τῆς χάριτος αὐτοῦ, διδόντι σημεῖα καὶ τέρατα γίνεσθαι διὰ τῶν χειρῶν αὐτῶν.","ἱκανὸν μὲν οὖν χρόνον διέτριψαν παρρησιαζόμενοι ἐπὶ ⸀τῷ λόγῳ τῆς χάριτος αὐτοῦ, διδόντι σημεῖα καὶ τέρατα γίνεσθαι διὰ τῶν χειρῶν αὐτῶν.",τῷ|κυρίῳ|τῷ|μαρτυροῦντι,,,
Acts,Acts,Disputed,5,43,Acts.5.14,kyrios,0.8274,0.0451,0.8205,0.0600,0.0070,False,False,25,4,21,0.1600,kyrios,"ἱκανὸν μὲν οὖν χρόνον διέτριψαν παρρησιαζόμενοι ἐπὶ τῷ κυρίῳ τῷ μαρτυροῦντι ⸀τῷ λόγῳ τῆς χάριτος αὐτοῦ, διδόντι σημεῖα καὶ τέρατα γίνεσθαι διὰ τῶν χειρῶν αὐτῶν.","ἱκανὸν μὲν οὖν χρόνον διέτριψαν παρρησιαζόμενοι ἐπὶ ⸀τῷ λόγῳ τῆς χάριτος αὐτοῦ, διδόντι σημεῖα καὶ τέρατα γίνεσθαι διὰ τῶν χειρῶν αὐτῶν.",τῷ|κυρίῳ|τῷ|μαρτυροῦντι,,,
Acts,Acts,Disputed,5,51,Acts.5.15,all,0.6960,0.1561,0.5182,0.1621,0.1778,False,False,21,1,20,0.0476,patriarchal,"ἐξανέστησαν δέ τινες τῶν ἀπὸ τῆς αἱρέσεως τῶν Φαρισαίων πεπιστευκότες, λέγοντες ὅτι δεῖ περιτέμνειν αὐτοὺς παραγγέλλειν τε τηρεῖν τὸν νόμον Μωϋσέως.","ἐξανέστησαν δέ τινες τῶν ἀπὸ τῆς αἱρέσεως τῶν Φαρισαίων πεπιστευκότες, λέγοντες ὅτι δεῖ περιτέμνειν αὐτοὺς παραγγέλλειν τε τηρεῖν τὸν νόμον",Μωϋσέως.,,,
