CHAPTER-LEVEL HEATMAP (Mean P(Jewish) | Uncertainty)
    Ch  3 [███████████████████████░░░░░░░] 0.780 +/-0.095 JEWISH
    Ch  4 [██████████████████████████░░░░] 0.888 +/-0.058 JEWISH
    Ch  5 [██████████████████████░░░░░░░░] 0.754 +/-0.127 JEWISH
    Ch  6 [██████████████████████░░░░░░░░] 0.746 +/-0.115 JEWISH
    Ch  7 [███████████████████████░░░░░░░] 0.779 +/-0.093 JEWISH
    Ch  8 [█████████████████████░░░░░░░░░] 0.732 +/-0.103 JEWISH
    Ch  9 [███████████████████████░░░░░░░] 0.785 +/-0.119 JEWISH
    Ch 10 [█████████████████████░░░░░░░░░] 0.717 +/-0.125 JEWISH
    Ch 11 [███████████████████████░░░░░░░] 0.783 +/-0.097 JEWISH
    Ch 12 [███████████████████░░░░░░░░░░░] 0.635 +/-0.132 JEWISH
    Ch 13 [████████████████████░░░░░░░░░░] 0.693 +/-0.115 JEWISH

  James
    Ch  1 [████████████████████████░░░░░░] 0.833 +/-0.089 JEWISH
    Ch  2 [████████████████████░░░░░░░░░░] 0.679 +/-0.122 JEWISH
    Ch  3 [███████████████████░░░░░░░░░░░] 0.655 +/-0.116 JEWISH
    Ch  4 [███████████████████░░░░░░░░░░░] 0.649 +/-0.148 JEWISH
    Ch  5 [███████████████████████░░░░░░░] 0.776 +/-0.110 JEWISH

  1 Peter
    Ch  1 [██████████████████████░░░░░░░░] 0.763 +/-0.122 JEWISH
    Ch  2 [█████████████████████░░░░░░░░░] 0.717 +/-0.111 JEWISH
    Ch  3 [█████████████████████░░░░░░░░░] 0.728 +/-0.136 JEWISH
    Ch  4 [████████████████████░░░░░░░░░░] 0.698 +/-0.117 JEWISH
    Ch  5 [███████████████████████░░░░░░░] 0.787 +/-0.125 JEWISH

  2 Peter
    Ch  1 [███████████████████████░░░░░░░] 0.788 +/-0.075 JEWISH
    Ch  2 [████████████████████████░░░░░░] 0.829 +/-0.083 JEWISH
    Ch  3 [████████████████████████░░░░░░] 0.833 +/-0.102 JEWISH

  1 John
    Ch  1 [███████████████████████████░░░] 0.932 +/-0.064 JEWISH
    Ch  2 [███████████████████████░░░░░░░] 0.799 +/-0.116 JEWISH
    Ch  3 [████████████████████████░░░░░░] 0.812 +/-0.112 JEWISH
    Ch  4 [█████████████████████████░░░░░] 0.836 +/-0.115 JEWISH
    Ch  5 [████████████████████████░░░░░░] 0.827 +/-0.084 JEWISH

  2 John
    Ch  1 [████████████████████████████░░] 0.935 +/-0.056 JEWISH

  3 John
    Ch  1 [███████████████████░░░░░░░░░░░] 0.656 +/-0.141 JEWISH

  Jude
    Ch  1 [███████████████████████░░░░░░░] 0.792 +/-0.109 JEWISH

  Revelation
    Ch  1 [███████████████████████████░░░] 0.931 +/-0.074 JEWISH
    Ch  2 [██████████████████████████░░░░] 0.881 +/-0.079 JEWISH
    Ch  3 [████████████████████████░░░░░░] 0.816 +/-0.094 JEWISH
    Ch  4 [███████████████████████░░░░░░░] 0.795 +/-0.087 JEWISH
    Ch  5 [███████████████████████░░░░░░░] 0.798 +/-0.079 JEWISH
    Ch  6 [█████████████████████████░░░░░] 0.848 +/-0.090 JEWISH
    Ch  7 [██████████████████████████░░░░] 0.874 +/-0.073 JEWISH
    Ch  8 [██████████████████████████░░░░] 0.876 +/-0.080 JEWISH
    Ch  9 [█████████████████████████░░░░░] 0.844 +/-0.086 JEWISH
    Ch 10 [██████████████████████████░░░░] 0.888 +/-0.064 JEWISH
    Ch 11 [██████████████████████████░░░░] 0.893 +/-0.067 JEWISH
    Ch 12 [███████████████████████████░░░] 0.926 +/-0.035 JEWISH
    Ch 13 [█████████████████████████░░░░░] 0.848 +/-0.077 JEWISH
    Ch 14 [███████████████████████████░░░] 0.929 +/-0.036 JEWISH
    Ch 15 [███████████████████████████░░░] 0.924 +/-0.059 JEWISH
    Ch 16 [███████████████████████████░░░] 0.914 +/-0.056 JEWISH
    Ch 17 [████████████████████████░░░░░░] 0.831 +/-0.086 JEWISH
    Ch 18 [█████████████████████████░░░░░] 0.864 +/-0.099 JEWISH
    Ch 19 [█████████████████████████░░░░░] 0.837 +/-0.082 JEWISH
    Ch 20 [████████████████████████████░░] 0.951 +/-0.035 JEWISH
    Ch 21 [███████████████████████░░░░░░░] 0.792 +/-0.094 JEWISH
    Ch 22 [███████████████████████░░░░░░░] 0.775 +/-0.100 JEWISH

